age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,purchased,id,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome
49,284,1,999,0,1.4,93.91799999999999,-42.7,4.957,5228.1,0,648,1,0,7,1,2,0,0,3,4,1
58,374,1,999,0,1.4,93.91799999999999,-42.7,4.963,5228.1,0,2186,5,1,0,1,2,0,0,3,4,1
36,529,1,999,0,1.4,93.444,-36.1,4.965,5228.1,1,1645,0,3,6,0,2,0,0,1,4,1
47,216,1,999,0,1.4,94.465,-41.8,4.961,5228.1,0,2751,4,1,0,0,0,2,1,4,2,1
38,191,1,999,0,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0,104,0,2,7,0,2,0,0,6,0,1
41,31,1,999,0,1.4,94.465,-41.8,4.961,5228.1,0,2677,7,1,3,1,2,2,1,4,3,1
44,93,8,999,0,1.4,93.444,-36.1,4.963,5228.1,0,4026,0,1,3,1,0,0,0,1,0,1
45,105,1,999,0,1.1,93.994,-36.4,4.86,5191.0,0,643,3,0,6,0,2,0,1,6,2,1
43,180,1,6,2,-2.9,92.20100000000001,-31.4,0.8690000000000001,5076.2,0,3595,4,1,2,0,2,0,0,1,0,0
39,219,2,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,2938,2,0,6,0,2,0,1,6,1,1
56,400,2,999,0,1.1,93.994,-36.4,4.855,5191.0,0,3703,1,1,0,1,2,0,1,6,0,1
55,185,1,999,0,1.4,93.91799999999999,-42.7,4.962,5228.1,0,240,11,1,0,0,0,2,0,3,2,1
47,399,2,999,1,-1.8,93.075,-47.1,1.41,5099.1,0,2453,0,1,1,1,2,0,0,0,2,0
24,314,1,999,0,1.1,93.994,-36.4,4.8580000000000005,5191.0,0,134,7,2,5,0,2,0,1,6,1,1
32,823,1,999,0,1.4,93.444,-36.1,4.965,5228.1,1,2572,0,2,6,0,0,0,0,1,4,1
41,188,4,999,0,1.4,93.444,-36.1,4.9639999999999995,5228.1,0,1502,0,0,6,0,2,0,0,1,4,1
42,179,5,999,0,1.4,93.91799999999999,-42.7,4.961,5228.1,0,3671,4,1,3,1,0,0,0,3,3,1
50,55,2,999,0,-0.1,93.2,-42.0,4.191,5195.8,0,3467,9,1,2,0,2,0,1,7,1,1
